"ISO";"COUNTRY";"YEAR";"DECILE 1 (MEAN INCOME)";"DECILE 2 (MEAN INCOME)";"DECILE 3 (MEAN INCOME)";"DECILE 4 (MEAN INCOME)";"DECILE 5 (MEAN INCOME)";"DECILE 6 (MEAN INCOME)";"DECILE 7 (MEAN INCOME)";"DECILE 8 (MEAN INCOME)";"DECILE 9 (MEAN INCOME)";"DECILE 10 (MEAN INCOME)"
"PSE";"West Bank and Gaza";"2020";"728.91";"1440.64";"2022.94";"2788.96";"3538.8";"4434.29";"5523.98";"7050.63";"9213.83";"17197.72"
"QAT";"Qatar";"2020";"22908.55";"34518.54";"44727.89";"55045.68";"65893.24";"77721.65";"91090.33";"107927.68";"134133.22";"218937.72"
"ROU";"Romania";"2020";"4734.5";"11103.24";"15368.02";"19346.98";"23498.94";"27737.4";"31947.03";"37800.14";"45729.23";"71015.82"
"RUS";"Russia";"2020";"7147.07";"11298.28";"14233.23";"16984.64";"19894.78";"23148.85";"27302.41";"32567.12";"41403.37";"70584.14"
"RWA";"Rwanda";"2020";"232.26";"414.3";"606.81";"790.94";"972.98";"1230.35";"1613.27";"2167.76";"3197.24";"9761.2"
"SAU";"Saudi Arabia";"2020";"11906.31";"17940.39";"23246.52";"28609.01";"34246.83";"40394.44";"47342.57";"56093.48";"69713.34";"113788.96"
"SDN";"Sudan";"2020";"583.98";"1018.39";"1372.34";"1670.15";"2032.33";"2543.38";"3211.36";"4144.91";"5790.66";"17861.17"
"SEN";"Senegal";"2020";"469.72";"799.52";"1079.35";"1382.5";"1738.96";"2148.71";"2705.04";"3501.23";"5033.65";"14348.06"
"SGP";"Singapore";"2020";"14856.95";"29796.6";"43144.43";"55844.96";"68638.87";"82460.03";"98335.69";"118974.04";"147736.99";"274181.93"
"SLB";"Solomon Islands";"2020";"640.97";"981.32";"1229.76";"1458.32";"1726.63";"2009.85";"2367.6";"2864.47";"3758.84";"7790.96"
"SLE";"Sierra Leone";"2020";"300.11";"436.22";"575.61";"718.29";"860.96";"1057.75";"1344.73";"1754.71";"2454.96";"6869.63"
"SLV";"El Salvador";"2020";"1280.64";"2720.04";"3679.3";"4479.15";"5518.95";"6558.75";"7758.52";"9518.19";"12797.57";"25515.15"
