"ISO";"COUNTRY";"YEAR";"DECILE 1 (MEAN INCOME)";"DECILE 2 (MEAN INCOME)";"DECILE 3 (MEAN INCOME)";"DECILE 4 (MEAN INCOME)";"DECILE 5 (MEAN INCOME)";"DECILE 6 (MEAN INCOME)";"DECILE 7 (MEAN INCOME)";"DECILE 8 (MEAN INCOME)";"DECILE 9 (MEAN INCOME)";"DECILE 10 (MEAN INCOME)"
"GEO";"Georgia";"2020";"2522.01";"4844.51";"6593.43";"8329.28";"10009.13";"11996.96";"13956.79";"17218.51";"22930.01";"41590.39"
"GHA";"Ghana";"2020";"212.92";"889.88";"1495.87";"2074.56";"2778.82";"3526.76";"4509.44";"6048.99";"8696.78";"24223.24"
"GIN";"Guinea";"2020";"513.05";"803.15";"1055.65";"1310.83";"1590.19";"1934.02";"2398.72";"3056.82";"4080.24";"9965.56"
"GMB";"Gambia, The";"2020";"336.99";"548.69";"749.59";"946.17";"1142.75";"1438.7";"1834.02";"2376.23";"3253.28";"8941.11"
"GNB";"Guinea-Bissau";"2020";"331.39";"488.76";"647.97";"812.74";"992.33";"1233.0";"1562.54";"2051.3";"2852.94";"7501.69"
"GNQ";"Equatorial Guinea";"2020";"863.16";"2226.94";"4160.41";"6076.62";"8838.72";"11773.45";"15864.81";"21389.0";"30210.46";"68672.69"
"GRC";"Greece";"2020";"7034.7";"12437.55";"15679.73";"18680.5";"21492.02";"25033.46";"28737.1";"33549.14";"41037.56";"66665.65"
"GRD";"Grenada";"2020";"2354.91";"4288.27";"5640.16";"6919.38";"8576.54";"10320.92";"13010.17";"16542.54";"23650.89";"53581.55"
"GRL";"Greenland";"2020";"11807.84";"24451.15";"30912.04";"35980.5";"41550.24";"48790.9";"58092.36";"70234.39";"88614.52";"147765.14"
"GTM";"Guatemala";"2020";"1410.6";"2375.7";"3197.8";"4020.34";"5019.13";"6068.28";"7427.97";"9442.34";"13034.62";"31936.08"
"GUY";"Guyana";"2020";"2038.46";"5829.43";"8144.3";"10180.37";"12272.48";"14831.58";"17876.35";"21911.14";"29364.29";"64351.14"
"HKG";"Hong Kong";"2020";"12442.7";"22932.51";"28512.2";"33310.73";"38220.86";"44637.5";"52281.67";"63162.06";"82690.96";"183348.52"
"HND";"Honduras";"2020";"623.22";"1297.84";"1816.58";"2335.6";"3010.33";"3840.76";"4826.9";"6228.26";"8667.67";"18736.69"
"HRV";"Croatia";"2020";"8021.94";"13705.62";"17007.58";"19905.37";"23046.89";"25971.76";"29302.87";"33690.17";"39919.06";"60230.66"
"HTI";"Haiti";"2020";"161.54";"419.75";"666.13";"944.91";"1258.91";"1666.8";"2239.03";"3119.39";"4718.7";"14147.29"
"HUN";"Hungary";"2020";"11732.13";"17719.68";"19728.51";"23637.28";"25907.86";"29329.05";"33869.76";"37477.82";"43121.96";"68472.22"
"IDN";"Indonesia";"2020";"3204.59";"4486.42";"5550.81";"6580.85";"7828.35";"9293.31";"11067.28";"13402.05";"17384.9";"35651.05"
"IND";"India";"2020";"728.38";"1560.21";"2127.14";"2706.71";"3360.27";"4149.47";"5277.78";"6967.16";"10062.31";"24718.02"
"IRL";"Ireland";"2020";"32550.39";"45955.45";"54923.06";"62898.65";"70239.75";"79574.85";"91991.55";"107851.96";"131507.11";"228754.42"
"IRN";"Iran";"2020";"2397.89";"4076.41";"5439.42";"6840.29";"8291.65";"9995.41";"12140.89";"15371.73";"20293.71";"41597.06"
"IRQ";"Iraq";"2020";"1758.75";"3217.95";"4334.86";"5335.21";"6353.59";"7462.09";"8741.82";"10643.39";"13671.48";"28604.67"
"ISL";"Iceland";"2020";"21587.16";"29437.33";"34881.58";"39752.41";"44309.0";"48603.7";"54574.45";"61435.51";"72800.89";"116429.09"
"ISR";"Israel";"2020";"7073.12";"13044.56";"18469.7";"23858.32";"29246.95";"35299.39";"41976.59";"50332.86";"63023.46";"108162.94"
"ITA";"Italy";"2020";"6834.97";"14864.74";"20556.94";"25627.97";"30582.02";"36043.12";"42518.36";"50631.94";"62607.19";"99781.3"
"JAM";"Jamaica";"2020";"1239.89";"2312.71";"3253.62";"4317.64";"5381.66";"6647.93";"8107.66";"10156.56";"14069.69";"32122.86"
"JOR";"Jordan";"2020";"2141.51";"3711.17";"4741.29";"5801.46";"6812.54";"7931.6";"9531.67";"11769.79";"15215.33";"30509.19"
"JPN";"Japan";"2020";"11553.09";"19430.25";"23932.69";"27753.87";"31132.6";"35436.47";"39820.77";"47382.7";"59288.71";"106590.96"
"KAZ";"Kazakhstan";"2020";"8531.64";"12351.78";"14771.2";"17190.62";"19737.38";"22615.21";"26155.21";"30917.65";"38659.79";"62701.19"
"KEN";"Kenya";"2020";"417.75";"926.89";"1318.54";"1718.88";"2201.91";"2767.62";"3494.34";"4677.98";"6792.86";"19081.79"
"KGZ";"Kyrgyzstan";"2020";"1494.07";"2219.9";"2710.07";"3181.39";"3671.56";"4218.29";"4892.27";"5759.49";"7116.88";"11801.77"
"KHM";"Cambodia";"2020";"1473.6";"1931.21";"2271.27";"2636.52";"3043.76";"3509.77";"4063.94";"4853.22";"6247.05";"11885.34"
"KIR";"Kiribati";"2020";"816.52";"1093.23";"1292.83";"1487.88";"1712.43";"1961.92";"2259.04";"2662.77";"3297.84";"6010.51"
"KNA";"Saint Kitts and Nevis";"2020";"3065.53";"6789.88";"9214.93";"11499.69";"14301.89";"17376.61";"21440.26";"27664.29";"39285.11";"92555.45"
"KOR";"Korea, Republic of";"2020";"11111.75";"20004.53";"25171.28";"29747.88";"34451.61";"39409.59";"45215.08";"52334.23";"64114.73";"102253.04"
"KWT";"Kuwait";"2020";"8207.83";"14307.64";"19734.68";"25430.82";"31889.44";"38975.99";"47094.12";"57723.93";"74453.55";"130652.53"
"LAO";"Laos";"2020";"2123.03";"3005.03";"3715.31";"4425.59";"5198.31";"6119.33";"7282.32";"8866.79";"11715.71";"25655.93"
"LBN";"Lebanon";"2020";"2874.41";"4871.49";"6175.95";"7388.05";"8680.96";"10112.39";"11601.54";"13933.4";"17154.12";"32091.83"
"LBR";"Liberia";"2020";"211.88";"341.52";"480.91";"618.92";"762.49";"945.1";"1201.59";"1575.17";"2185.72";"5596.73"
"LBY";"Libya";"2020";"2116.22";"3791.95";"5018.71";"6147.79";"7290.78";"8540.94";"10024.31";"12215.14";"15629.19";"32047.87"
"LCA";"Saint Lucia";"2020";"1085.27";"2687.59";"4120.68";"5458.09";"7036.48";"8590.77";"10602.92";"14169.35";"20205.78";"46532.34"
"LIE";"Liechtenstein";"2020";"11602.13";"20168.62";"25457.99";"30133.19";"34757.08";"39747.65";"45620.65";"53188.91";"64904.9";"107480.87"
"LKA";"Sri Lanka";"2020";"2114.88";"3965.39";"5173.9";"6357.22";"7754.55";"9240.0";"11304.52";"14225.07";"19273.08";"45960.81"
"LSO";"Lesotho";"2020";"99.76";"359.6";"586.96";"809.68";"1113.6";"1468.56";"1939.52";"2600.72";"3772.33";"10419.14"
"LTU";"Lithuania";"2020";"8690.86";"16182.0";"20595.22";"24046.31";"27757.16";"32544.15";"38073.32";"45086.82";"57109.98";"101009.33"
"LUX";"Luxembourg";"2020";"29312.38";"48156.57";"59260.86";"72392.32";"85411.58";"99889.81";"116051.83";"143548.95";"175087.47";"293157.28"
"LVA";"Latvia";"2020";"7467.44";"13600.51";"16877.71";"19675.62";"22834.54";"26474.83";"30596.48";"36673.66";"46210.62";"80417.31"
"MAC";"Macao";"2020";"16125.21";"27248.09";"33713.84";"39359.81";"44814.96";"51338.83";"58478.77";"69102.63";"86092.88";"151014.84"
"MAR";"Morocco";"2020";"1512.56";"2382.8";"3135.63";"3833.21";"4551.5";"5442.46";"6519.9";"8170.6";"10746.79";"22868.01"
