currency,currency_name,units_per_eur,eur_per_units
HTG,Haitian Gourde,74.33828253,0.01345201915
SOS,Somali Shilling,633.0171662,0.00157973599
GNF,Guinean Franc,9965.134615,0.0001003498737
MNT,Mongolian Tughrik,2635.13613,0.0003794870362
MVR,Maldivian Rufiyaa,16.79415041,0.05954454234
CDF,Congolese Franc,1519.918739,0.0006579299105
TJS,Tajikistani Somoni,9.274707893,0.1078201073
KPW,North Korean Won,141.5712569,0.007063580716
KGS,Kyrgyzstani Som,73.65130671,0.01357749162
LRD,Liberian Dollar,102.0037504,0.009803561105
LSL,Basotho Loti,14.59771958,0.0685038505
MMK,Burmese Kyat,1488.363164,0.0006718790305
GIP,Gibraltar Pound,0.8447868119,1.1837306
XPT,Platinum Ounce,0.001164923088,858.4257712
MDL,Moldovan Leu,20.92226241,0.04779597828
CUP,Cuban Peso,28.915734,0.03458324799
KHR,Cambodian Riel,4429.275826,0.0002257705411
MKD,Macedonian Denar,61.62581509,0.0162269659
VUV,Ni-Vanuatu Vatu,121.4859112,0.008231407164
ANG,Dutch Guilder,1.95147627,0.5124325698
SZL,Swazi Lilangeni,14.59771958,0.0685038505
CVE,Cape Verdean Escudo,110.4716613,0.009052095249
SRD,Surinamese Dollar,8.226219135,0.1215625287
SVC,Salvadoran Colon,9.54764802,0.1047378368
XPD,Palladium Ounce,0.001335135065,748.9878939
BSD,Bahamian Dollar,1.091159774,0.9164560718
XDR,IMF Special Drawing Rights,0.7963973736,1.255654568
RWF,Rwandan Franc,900.9127364,0.001109985418
AWG,Aruban or Dutch Guilder,1.953175995,0.5119866323
BTN,Bhutanese Ngultrum,70.12437198,0.01426037727
DJF,Djiboutian Franc,194.1989236,0.005149359129
KMF,Comorian Franc,491.96775,0.002032653563
ERN,Eritrean Nakfa,16.74583511,0.05971634102
FKP,Falkland Island Pound,0.8447868119,1.1837306
SHP,Saint Helenian Pound,0.8447868119,1.1837306
SPL,Seborgan Luigino,0.1818599616,5.498736453
WST,Samoan Tala,2.808456642,0.3560674518
JEP,Jersey Pound,0.8447868119,1.1837306
TMT,Turkmenistani Manat,3.819059208,0.2618445919
GGP,Guernsey Pound,0.8447868119,1.1837306
IMP,Isle of Man Pound,0.8447868119,1.1837306
TVD,Tuvaluan Dollar,1.448283539,0.6904725305
ZMW,Zambian Kwacha,10.20470222,0.09799404029
BTC,Bitcoin,0.0008041997199,1243.472206
CLF,CLF,0.02717528936,36.79813623
ETH,Ethereum,0.0134007736,74.62255762
LTC,Litecoin,0.06583637618,15.18917137
XBT,XBT,0.0008041997199,1243.472206
